Week,Agency_ID,Channel_ID,Route_ID,Client_ID,Product_ID,Weekly_Units_Sold,Weekly_Sales_Price,Dev_uni_proxima,Dev_proxima,Unit_Demand
3,1110,7,3301,15766,1212,3,25.14,0,0.0,3
3,1110,7,3301,15766,1216,4,33.52,0,0.0,4
3,1110,7,3301,15766,1238,4,39.32,0,0.0,4
3,1110,7,3301,15766,1240,4,33.52,0,0.0,4
3,1110,7,3301,15766,1242,3,22.92,0,0.0,3
3,1110,7,3301,15766,1250,5,38.2,0,0.0,5
3,1110,7,3301,15766,1309,3,20.28,0,0.0,3
3,1110,7,3301,15766,3894,6,56.1,0,0.0,6
3,1110,7,3301,15766,4085,4,24.6,0,0.0,4
3,1110,7,3301,15766,5310,6,31.68,0,0.0,6
3,1110,7,3301,15766,30531,8,62.24,0,0.0,8
3,1110,7,3301,15766,30548,4,21.52,0,0.0,4
3,1110,7,3301,15766,30571,12,75.0,0,0.0,12
3,1110,7,3301,15766,31309,7,43.75,0,0.0,7
3,1110,7,3301,15766,31506,10,62.5,0,0.0,10
3,1110,7,3301,15766,32393,5,15.1,0,0.0,5
3,1110,7,3301,15766,32933,3,21.12,0,0.0,3
3,1110,7,3301,15766,32936,3,21.12,0,0.0,3
3,1110,7,3301,15766,34053,8,36.0,0,0.0,8
3,1110,7,3301,15766,35651,12,90.0,0,0.0,12
3,1110,7,3301,15766,37057,8,60.0,0,0.0,8
3,1110,7,3301,15766,41938,4,39.64,0,0.0,4
3,1110,7,3301,15766,42434,5,22.9,0,0.0,5
3,1110,7,3301,22926,1125,18,172.8,0,0.0,18
3,1110,7,3301,22926,42122,18,561.6,0,0.0,18
3,1110,7,3301,24080,2233,19,378.86,0,0.0,19
3,1110,7,3301,24080,42122,12,374.4,0,0.0,12
3,1110,7,3301,24695,1187,1,148.5,0,0.0,1
3,1110,7,3301,24695,2233,8,159.52,0,0.0,8
3,1110,7,3301,50379,1146,3,64.17,0,0.0,3
3,1110,7,3301,50379,2233,38,757.72,0,0.0,38
3,1110,7,3301,50379,36410,12,156.0,0,0.0,12
3,1110,7,3301,50379,47612,2,34.3,0,0.0,2
3,1110,7,3301,50395,641,4,163.8,0,0.0,4
3,1110,7,3301,50395,47611,14,240.1,0,0.0,14
3,1110,7,3301,73589,1220,1,7.64,0,0.0,1
3,1110,7,3301,73589,1240,2,16.76,0,0.0,2
3,1110,7,3301,73589,1242,2,15.28,0,0.0,2
3,1110,7,3301,73589,1250,3,22.92,0,0.0,3
3,1110,7,3301,73589,1309,1,6.76,0,0.0,1
3,1110,7,3301,73589,4085,2,12.3,0,0.0,2
3,1110,7,3301,73589,5310,4,21.12,0,0.0,4
3,1110,7,3301,73589,30531,1,7.78,0,0.0,1
3,1110,7,3301,73589,30574,3,18.75,0,0.0,3
